time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,action,reward,done
1.2200000000000006,0.0,0.0,22.69520153009477,0.0,0.0,0.0,0.0,0.0,20.73370086737774,0.0,0.0,0.0,[858.2298214899953],-7.730479846990522,False
1.2400000000000007,0.0,0.0,23.1127431135488,0.0,0.0,0.0,0.0,0.0,21.02045747802519,0.0,0.0,0.0,[867.2340217173976],-7.688725688645119,False
1.2600000000000007,0.0,0.0,23.535748597794893,0.0,0.0,0.0,0.0,0.0,21.280090946584277,0.0,0.0,0.0,[859.8121055862929],-7.646425140220511,False
1.2800000000000007,0.0,0.0,23.96398317696167,0.0,0.0,0.0,0.0,0.0,21.54336697009337,0.0,0.0,0.0,[866.7494137291711],-7.603601682303832,False
1.3000000000000007,0.0,0.0,24.397532387470065,0.0,0.0,0.0,0.0,0.0,21.811554080746102,0.0,0.0,0.0,[874.3715122697631],-7.560246761252993,False
1.3200000000000007,0.0,0.0,24.83633781379445,0.0,0.0,0.0,0.0,0.0,22.068988551692804,0.0,0.0,0.0,[874.6705614878364],-7.516366218620556,False
1.3400000000000007,0.0,0.0,25.280280458341885,0.0,0.0,0.0,0.0,0.0,22.325275903050816,0.0,0.0,0.0,[879.3723658022554],-7.471971954165813,False
1.3600000000000008,0.0,0.0,25.72918335949475,0.0,0.0,0.0,0.0,0.0,22.56501421223597,0.0,0.0,0.0,[876.8075324397956],-7.427081664050524,False
1.3800000000000008,0.0,0.0,26.18271582524973,0.0,0.0,0.0,0.0,0.0,22.788232363261795,0.0,0.0,0.0,[873.9618768145211],-7.381728417475028,False
1.4000000000000008,0.0,0.0,26.640438435543285,0.0,0.0,0.0,0.0,0.0,22.9840286660937,0.0,0.0,0.0,[865.5832713188621],-7.335956156445671,False
1.4200000000000008,0.0,0.0,27.102189188906024,0.0,0.0,0.0,0.0,0.0,23.191046670180274,0.0,0.0,0.0,[875.1420282193772],-7.289781081109398,False
1.4400000000000008,0.0,0.0,27.568019108617573,0.0,0.0,0.0,0.0,0.0,23.391945300974385,0.0,0.0,0.0,[876.6796318418016],-7.243198089138242,False
1.4600000000000009,0.0,0.0,28.037681251896434,0.0,0.0,0.0,0.0,0.0,23.574269026911548,0.0,0.0,0.0,[872.1990875611007],-7.196231874810357,False
1.4800000000000009,0.0,0.0,28.510946088298244,0.0,0.0,0.0,0.0,0.0,23.75221461326975,0.0,0.0,0.0,[874.1067033780399],-7.148905391170176,False
1.5000000000000009,0.0,0.0,28.987773428299896,0.0,0.0,0.0,0.0,0.0,23.930519386895522,0.0,0.0,0.0,[878.1919858373877],-7.10122265717001,False
1.520000000000001,0.0,0.0,29.468122822704505,0.0,0.0,0.0,0.0,0.0,24.104420053565494,0.0,0.0,0.0,[880.0460749399938],-7.05318771772955,False
1.540000000000001,0.0,0.0,29.951866184524864,0.0,0.0,0.0,0.0,0.0,24.269916128470385,0.0,0.0,0.0,[879.9377117811259],-7.004813381547514,False
1.560000000000001,0.0,0.0,30.438772496995096,0.0,0.0,0.0,0.0,0.0,24.420715118552806,0.0,0.0,0.0,[876.6866399334349],-6.95612275030049,False
1.580000000000001,0.0,0.0,30.928658645041573,0.0,0.0,0.0,0.0,0.0,24.56789968609491,0.0,0.0,0.0,[878.3803167382763],-6.907134135495844,False
1.600000000000001,0.0,0.0,31.421401099084807,0.0,0.0,0.0,0.0,0.0,24.706345718228622,0.0,0.0,0.0,[877.5831445368981],-6.85785989009152,False
1.620000000000001,0.0,0.0,31.917029539868825,0.0,0.0,0.0,0.0,0.0,24.856498360173255,0.0,0.0,0.0,[886.2572249319181],-6.808297046013117,False
1.640000000000001,0.0,0.0,32.415709144948174,0.0,0.0,0.0,0.0,0.0,25.011462147761545,0.0,0.0,0.0,[891.918034812581],-6.758429085505182,False
1.660000000000001,0.0,0.0,32.91743905503702,0.0,0.0,0.0,0.0,0.0,25.161528861123735,0.0,0.0,0.0,[893.1609719611837],-6.7082560944962975,False
1.680000000000001,0.0,0.0,33.42212252884661,0.0,0.0,0.0,0.0,0.0,25.306818519834682,0.0,0.0,0.0,[894.367650765628],-6.657787747115339,False
1.700000000000001,0.0,0.0,33.92976960462792,0.0,0.0,0.0,0.0,0.0,25.457889058296452,0.0,0.0,0.0,[900.3762216955411],-6.607023039537207,False
1.720000000000001,0.0,0.0,34.44036665727503,0.0,0.0,0.0,0.0,0.0,25.60181620641413,0.0,0.0,0.0,[900.5435386585967],-6.555963334272496,False
1.740000000000001,0.0,0.0,34.95383978899607,0.0,0.0,0.0,0.0,0.0,25.74549696569027,0.0,0.0,0.0,[903.7474399749401],-6.504616021100392,False
1.7600000000000011,0.0,0.0,35.47017919475052,0.0,0.0,0.0,0.0,0.0,25.88844360975537,0.0,0.0,0.0,[906.7291126242252],-6.452982080524947,False
1.7800000000000011,0.0,0.0,35.98924801100994,0.0,0.0,0.0,0.0,0.0,26.018438016186796,0.0,0.0,0.0,[904.0959967382879],-6.401075198899005,False
1.8000000000000012,0.0,0.0,36.510909778657094,0.0,0.0,0.0,0.0,0.0,26.147738748528678,0.0,0.0,0.0,[906.8121555153535],-6.34890902213429,False
1.8200000000000012,0.0,0.0,37.03507815613012,0.0,0.0,0.0,0.0,0.0,26.26909899877425,0.0,0.0,0.0,[906.1972645790797],-6.296492184386988,False
1.8400000000000012,0.0,0.0,37.56146564513081,0.0,0.0,0.0,0.0,0.0,26.369649901294533,0.0,0.0,0.0,[899.4749661387191],-6.243853435486919,False
1.8600000000000012,0.0,0.0,38.08981457863915,0.0,0.0,0.0,0.0,0.0,26.465243449539983,0.0,0.0,0.0,[899.5778369695042],-6.191018542136085,False
1.8800000000000012,0.0,0.0,38.62023401684438,0.0,0.0,0.0,0.0,0.0,26.576700370983286,0.0,0.0,0.0,[909.1519744094467],-6.1379765983155625,False
1.9000000000000012,0.0,0.0,39.15287679375241,0.0,0.0,0.0,0.0,0.0,26.68757731982039,0.0,0.0,0.0,[911.5316329945769],-6.084712320624758,False
1.9200000000000013,0.0,0.0,39.6877376432948,0.0,0.0,0.0,0.0,0.0,26.798507634418613,0.0,0.0,0.0,[914.1907205267995],-6.03122623567052,False
1.9400000000000013,0.0,0.0,40.22471460182674,0.0,0.0,0.0,0.0,0.0,26.899188218775127,0.0,0.0,0.0,[912.1657897651065],-5.977528539817326,False
1.9600000000000013,0.0,0.0,40.76377081653811,0.0,0.0,0.0,0.0,0.0,27.006433252361923,0.0,0.0,0.0,[917.5584943354398],-5.923622918346188,False
1.9800000000000013,0.0,0.0,41.30486228932659,0.0,0.0,0.0,0.0,0.0,27.102714026485966,0.0,0.0,0.0,[915.1484541342215],-5.869513771067341,False
2.0000000000000013,0.0,0.0,41.84755527419247,0.0,0.0,0.0,0.0,0.0,27.166584460102165,0.0,0.0,0.0,[902.6429202237817],-5.815244472580753,False
2.0200000000000014,0.0,0.0,42.391506736419494,0.0,0.0,0.0,0.0,0.0,27.228561762599796,0.0,0.0,0.0,[903.3337030749091],-5.76084932635805,False
2.0400000000000014,0.0,0.0,42.936573543009516,0.0,0.0,0.0,0.0,0.0,27.278118896402813,0.0,0.0,0.0,[899.121800006614],-5.706342645699048,False
2.0600000000000014,0.0,0.0,43.48262032829367,0.0,0.0,0.0,0.0,0.0,27.32655963201284,0.0,0.0,0.0,[899.8282771992526],-5.651737967170632,False
2.0800000000000014,0.0,0.0,44.02957237845737,0.0,0.0,0.0,0.0,0.0,27.36864538435627,0.0,0.0,0.0,[898.08456729541],-5.597042762154263,False
2.1000000000000014,0.0,0.0,44.57736136214989,0.0,0.0,0.0,0.0,0.0,27.410252984895433,0.0,0.0,0.0,[898.9064469963142],-5.542263863785011,False
